   n, quick_cmp, quick_swaps, quick_time
 368,      5154,        1001,       3001
 369,      5310,        1022,       3002
 370,      5338,        1015,       3002
 371,      5333,        1015,       3003
 372,      5559,        1010,       3002
 373,      5523,         990,       3002
 374,      5445,        1031,       3503
 375,      5454,        1030,       3001
 376,      5528,        1020,       3503
 377,      5356,        1030,       3003
 378,      5150,        1042,       3003
 379,      5444,        1070,       3002
 380,      5493,        1035,       3002
 381,      5974,        1054,       3002
 382,      5820,        1044,       3503
 383,      5805,        1053,       3002
 384,      5555,        1043,       3002
 385,      5333,        1055,       3002
 386,      5677,        1059,       3002
 387,      5607,        1071,       3002
 388,      5874,        1061,       3001
 389,      5722,        1050,       3003
 390,      5596,        1087,       3002
 391,      5621,        1113,       3503
 392,      5592,        1109,       3002
 393,      5622,        1094,       3002
 394,      5554,        1095,       3503
 395,      5724,        1075,       3002
 396,      5741,        1120,       3002
 397,      5621,        1099,       3502
 398,      6169,        1086,       3502
 399,      5968,        1099,       3002
 400,      5744,        1112,       3001
 401,      5615,        1127,       3002
 402,      5699,        1127,       3503
 403,      5938,        1117,       3002
 404,      6295,        1093,       3503
 405,      5895,        1107,       3001
 406,      5757,        1146,       3002
